boq_name,brand,catalogue_code_dynamic,category,countries,default_image,dimensions,height,hsn_code,id,is_preferred,item_class,item_name,item_type,length1,lwhd_metric,sku_id,sku_name,specifications,status,sub_category,t_metric,template_id,template_name,unit,us_dimensions,us_specifications,width,images,catalogue_series_dynamic,color,model_3d,vendor_brand_dynamic,base_structure_dynamic,config,item_style,seating_dynamic,space_tag,theme,edge_banding_colors_dynamic,table_top_dynamic,table_top_finishes_dynamic,td_document,thickness,type,powder_coating_colors_dynamic,product_finishes_dynamic,base_structure_finishes_dynamic,default_image_mobile,diameter,length2,Sellling Price
SQUARE MEETING TABLE WITH MS CROSS BASE (2 Seater),ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/f057e1fe-7022-4fac-85d6-2bddec41d7e8,900mm (L) x 900mm (W) x 750mm (H),750,940310,1094cb17-e78b-4b57-9960-1b0e1af0777c,TRUE,P1,MEETING TABLE,product,900,mm,P-FUR-MOD-MEE-999187,FURNITURE MODULAR FURNITURE MEETING TABLE Square ELESTRO MS Cross Base 2 Seater PLPB 900mm (L) x 900mm (W) x 750mm (H),"--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 40 x 40mm MS powder coated legs with foot levelers. 
  
  
  ++Beam support : 40 x 20mm (LxH) MS powder coated beams are considered to support table top.
  
  
  --Wire management : 
  
  
  ++Vertical cable riser (Vertebrae) with electric pop-up box on the table top are considered for wire management.
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",active,MODULAR FURNITURE,mm,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"3' (L) x 3' (D) x 2'-6"" (H)","--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 40 x 40mm MS powder coated legs with foot levelers. 
  
  
  ++Beam support : 40 x 20mm (LxH) MS powder coated beams are considered to support table top.
  
  
  --Wire management : 
  
  
  ++Vertical cable riser (Vertebrae) with electric pop-up box on the table top are considered for wire management.
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",900,,,,,,MS Cross Base,,,2 Seater,Meeting Room,,,PLPB,,https://s3-dms-prod.flipspaces.app/e3705551-7ab8-4c07-9b9a-b78b4b59d7d0,,Square,,,,,,,10770
SQUARE MEETING TABLE WITH MS CROSS BASE (2 Seater),ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/9f06af52-a3e9-4d7d-ad91-d9348d968c67,750mm (L) x 750mm (W) x 750mm (H),750,940310,845c57ac-cbe2-4ad3-a042-0666b6c69514,TRUE,P1,MEETING TABLE,product,750,mm,P-FUR-MOD-MEE-803831,FURNITURE MODULAR FURNITURE MEETING TABLE Square ELESTRO MS Cross Base 2 Seater PLPB 750mm (L) x 750mm (W) x 750mm (H),"--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 40 x 40mm MS powder coated legs with foot levelers. 
  
  
  ++Beam support : 40 x 20mm (LxH) MS powder coated beams are considered to support table top.
  
  
  --Wire management : 
  
  
  ++Vertical cable riser (Vertebrae) with electric pop-up box on the table top are considered for wire management.
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",active,MODULAR FURNITURE,mm,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"2'-6"" (L) x 2'-6"" (D) x 2'-6"" (H)","--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 40 x 40mm MS powder coated legs with foot levelers. 
  
  
  ++Beam support : 40 x 20mm (LxH) MS powder coated beams are considered to support table top.
  
  
  --Wire management : 
  
  
  ++Vertical cable riser (Vertebrae) with electric pop-up box on the table top are considered for wire management.
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",750,,,,,,MS Cross Base,,,2 Seater,Meeting Room,,,PLPB,,https://s3-dms-prod.flipspaces.app/312945ca-1c93-4de3-9043-e5385cbe62ea,,Square,,,,,,,10770
ROUND MEETING TABLE WITH MS BASE (4 Seater),ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/887b7f73-8abf-4a9b-b02e-ad1a81d61295,750mm (H) x 900mm (D),750,940310,88603584-e81f-4fc2-860a-39a1d43393dd,TRUE,P1,MEETING TABLE,product,,mm,P-FUR-MOD-MEE-136288,FURNITURE MODULAR FURNITURE MEETING TABLE Round ELESTRO MS Base 4 Seater PLPB 750mm (H) x 900mm (D),"--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 50mm Dia MS powder coated legs with foot levelers. 
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",active,MODULAR FURNITURE,mm,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"3' (Dia) x 2'-6"" (H)","--Table top: 
  
  
  ++25mm thick E1 grade Pre-Laminated Particle Board (PLPB) with PVC edgebanding.
  
  
  --Understructure : 
  
  
  ++Leg support : 50mm Dia MS powder coated legs with foot levelers. 
  
  
  
  
  
  Delivery lead time : 3 - 4 Weeks",,,,,,,MS Base,,,4 Seater,Meeting Room,,,PLPB,,https://s3-dms-prod.flipspaces.app/1c0a281d-8848-4f6c-9a29-9d4cbf934aff,,Round,,,,,900,,7690
Round Meeting Table Straight Leg Wooden Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/7caecd88-16e0-46a2-9d9a-fe6077590f33,750mm (H) x 900mm (D),750,940310,ff3c06d0-f77f-4f3b-94b3-6edecb1c9f4c,TRUE,P1,MEETING TABLE,product,,mm,P-FUR-MOD-MEE-997177,FURNITURE MODULAR FURNITURE MEETING TABLE Round ELESTRO MS Straight 3 Seater PLPB 750mm (H) x 900mm (D),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"2'-6""(H) X 3'-0""(D)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",,"https://s3-dms-prod.flipspaces.app/98a36441-39c6-476f-b833-ad6035ddf96b,https://s3-dms-prod.flipspaces.app/b5dd4459-b871-4644-a845-4314e82379d3,https://s3-dms-prod.flipspaces.app/c79759e0-ded7-4b07-945b-0284c1f7acb2,https://s3-dms-prod.flipspaces.app/6e9b8431-b2af-48ed-b7c3-177b63cc18e2",,,02999a03-8638-4fb0-ad54-cb815523d4ff,,MS Straight,,,3 Seater,"Conference Room,Meeting Room,Discussion Room,MD Cabin,Director Cabin,Workstation Area,Work Lounge Area",,EDGE BANDING COLORS,PLPB,PLPB,https://s3-dms-prod.flipspaces.app/0edcc05d-6637-41cf-a4f9-0b44fbca9aca,,Round,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/e5e49b01-5743-4105-a75a-aa90a9efcfae,900,,7370
Cylinder Shape Conference Table Connected Leg Glass Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/11d0c05c-f944-4c70-9790-95bfd5337736,3300mm (L) x 1200mm (W) x 760mm (H),760,940310,fef6407c-2b10-47fd-8344-17dd49bde2e6,TRUE,P1,CONFERENCE TABLE,product,3300,mm,P-FUR-MOD-CON-402251,FURNITURE MODULAR FURNITURE CONFERENCE TABLE Cylinder ELESTRO MS Connected 8 Seater LACQUERED GLASS 3300mm (L) x 1200mm (W) x 760mm (H),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"11'-0""(L) X 4'-0""(W) X 2'-10""(H)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",1200,"https://s3-dms-prod.flipspaces.app/c8847010-e3ac-42b8-86d1-0186650eb6a6,https://s3-dms-prod.flipspaces.app/2fbdd710-f275-4e2f-beed-1052004cde35,https://s3-dms-prod.flipspaces.app/0b9a9269-3676-4cf8-9fa8-544b11a78ad3,https://s3-dms-prod.flipspaces.app/c7c0f1b9-37e6-4a39-b0c7-b0feeb4687a6",,,38dbdca7-5ab7-4033-837a-a046f1df70b5,,MS Connected,,,8 Seater,Conference Room,,EDGE BANDING COLORS,LACQUERED GLASS,LACQUERED GLASS,https://s3-dms-prod.flipspaces.app/a66dd2d4-55ee-4ea2-919b-a2292854121d,,Cylinder,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/6d0827fc-fbd8-4fe7-945c-e35bed5f9b81,,,76200
Round Meeting Table Telescopic Leg Glass Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/09a8fa58-8cf2-4cd4-99d1-3e464fe787c7,760mm (H) x 1050mm (D),760,940310,fd8b73b8-f653-4268-bddd-d5b2c2704f26,TRUE,P1,MEETING TABLE,product,,mm,P-FUR-MOD-MEE-765581,FURNITURE MODULAR FURNITURE MEETING TABLE Round ELESTRO MS Telescopic 4 Seater LACQUERED GLASS 760mm (H) x 1050mm (D),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"2'-10""(H) X 3'-6""(D)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",,"https://s3-dms-prod.flipspaces.app/4834a122-a675-4bea-8ccf-6b732d1be9a7,https://s3-dms-prod.flipspaces.app/292989ce-0144-48a1-8535-e35ad2f105bd,https://s3-dms-prod.flipspaces.app/5d78bea4-ce16-47d3-a808-8c2f1b1e0e3b,https://s3-dms-prod.flipspaces.app/37ff4dff-920e-4cab-95b2-49810a1f6c92",,,32142199-a103-41d8-9cad-71ab8bbd5ebd,,MS Telescopic,,,4 Seater,"Conference Room,Meeting Room,Discussion Room,MD Cabin,Director Cabin,Workstation Area,Work Lounge Area",,EDGE BANDING COLORS,LACQUERED GLASS,LACQUERED GLASS,https://s3-dms-prod.flipspaces.app/7518281c-f9e1-484d-ba7d-cb56fdd1cc71,,Round,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/8093d1dd-3fe6-4793-bbd6-ce7890bee5a0,1050,,15150
Oval Meeting Table Straight Leg Glass Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/aefdc343-d7f4-43ec-bf68-102dc246b026,2400mm (L) x 1200mm (W) x 760mm (H),760,940310,fca6bde7-ef47-4c74-be83-338dff5f8abf,TRUE,P1,MEETING TABLE,product,2400,mm,P-FUR-MOD-MEE-378024,FURNITURE MODULAR FURNITURE MEETING TABLE Oval ELESTRO MS Straight 6 Seater LACQUERED GLASS 2400mm (L) x 1200mm (W) x 760mm (H),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"8'-0""(L) X 4'-0""(W) X 2'-10""(H)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",1200,"https://s3-dms-prod.flipspaces.app/43937d66-e6a6-45ea-9dd8-7d900d07f8cf,https://s3-dms-prod.flipspaces.app/ad474937-9ae4-4b3e-bf62-2b5142aa4401,https://s3-dms-prod.flipspaces.app/03e81cdc-a522-4ca6-9605-6abc7b78bbd8,https://s3-dms-prod.flipspaces.app/2ad8927a-5b80-4923-8ad9-d7b52356532a",,,31be5098-50d1-41a6-8dfb-28162535906e,,MS Straight,,,6 Seater,"Conference Room,Meeting Room,Discussion Room,MD Cabin,Director Cabin,Workstation Area,Work Lounge Area",,EDGE BANDING COLORS,LACQUERED GLASS,LACQUERED GLASS,https://s3-dms-prod.flipspaces.app/619fe69a-46f5-4643-97b7-7c918506139b,,Oval,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/4c3e60e6-75b6-4bff-b1c8-cf46cbe5855e,,,39720
Rectangular Conference Table Straight Leg Glass Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/0710c924-992f-4f37-a2c3-6be26ccd3711,3300mm (L) x 1200mm (W) x 760mm (H),760,940310,fba7c0b2-871f-4a15-a022-16a313687b39,TRUE,P1,CONFERENCE TABLE,product,3300,mm,P-FUR-MOD-CON-918644,FURNITURE MODULAR FURNITURE CONFERENCE TABLE Rectangular ELESTRO MS Straight 8 Seater LACQUERED GLASS 3300mm (L) x 1200mm (W) x 760mm (H),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"11'-0""(L) X 4'-0""(W) X 2'-10""(H)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS Understructure is of size 50 x 50 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",1200,"https://s3-dms-prod.flipspaces.app/2175d72d-670b-4806-bff0-aac3dc0bfc10,https://s3-dms-prod.flipspaces.app/36324e66-c386-4ed3-97c5-3859ac72340c,https://s3-dms-prod.flipspaces.app/25ac6fd1-f6ae-465b-a5a8-36d7101d62f6,https://s3-dms-prod.flipspaces.app/056cafd0-612a-49c1-bbb3-383aee75759c",,,fd4a28fa-9e4f-4026-9522-6707e8a6ed07,,MS Straight,,,8 Seater,Conference Room,,EDGE BANDING COLORS,LACQUERED GLASS,LACQUERED GLASS,https://s3-dms-prod.flipspaces.app/74895403-c5f4-464e-b221-daafd47d92bf,,Rectangular,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/6fc1ee98-0641-4c63-affe-900621b62ad4,,,74130
Cylinder Shape Conference Table Telescopic Leg Wooden Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/8ec0d101-93a4-41b8-876e-29acb182e595,3300mm (L) x 1200mm (W) x 750mm (H),750,940310,fac8e332-31d1-4d10-b464-265f73f30a6a,TRUE,P1,CONFERENCE TABLE,product,3300,mm,P-FUR-MOD-CON-446764,FURNITURE MODULAR FURNITURE CONFERENCE TABLE Cylinder ELESTRO MS Telescopic 8 Seater PLPB 3300mm (L) x 1200mm (W) x 750mm (H),"""Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks""",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"11'-0""(L) X 4'-0""(W) X 2'-6""(H)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the wooden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25 mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Perforated mass riser.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Glass top of 10mm is fixed on the wooden top surface.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",1200,"https://s3-dms-prod.flipspaces.app/356c9504-303b-4c6b-b1e7-dbbd2b1dd95d,https://s3-dms-prod.flipspaces.app/67f20d82-75ac-4e75-a70b-8fc4ba56dffa,https://s3-dms-prod.flipspaces.app/2fa4e9d2-6282-4c11-988d-a910e2fc6900,https://s3-dms-prod.flipspaces.app/910dcffe-80cf-4875-ba3f-edfab477d5b6",,,2c8ab1e2-3527-4499-8833-45732a9ddc2a,,MS Telescopic,,,8 Seater,Conference Room,,EDGE BANDING COLORS,PLPB,PLPB,https://s3-dms-prod.flipspaces.app/b2f6b108-62d5-44dd-a5bd-873d5208ec0e,,Cylinder,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/8031165f-63b1-4b84-a69a-363532b5f254,,,48430
Rectangular Meeting Table Connected Leg Wooden Top,ELESTRO,,FURNITURE,IN,https://s3-dms-prod.flipspaces.app/c23c0ba8-5339-4ef0-90f3-6ce45c79dd42,1500mm (L) x 900mm (W) x 750mm (H),750,940310,fab94b56-7362-4766-a3c1-cd2a38c82d59,TRUE,P1,MEETING TABLE,product,1500,mm,P-FUR-MOD-MEE-906886,FURNITURE MODULAR FURNITURE MEETING TABLE Rectangular ELESTRO MS Connected 4 Seater PLPB 1500mm (L) x 900mm (W) x 750mm (H),"Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",active,MODULAR FURNITURE,,fcaa3a5b-31fc-417e-862c-d2a90b1096f1,FURNITURE_MODULAR FURNITURE,NOS,"5'-0""(L) X 3'-0""(W) X 2'-6""(H)","Table top is a 25mm thick wooden panel - PLPB.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Edges of the woden top is finished with edgebinders on all external side.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Thickness of edgebinders would be 2mm.
 
  
 
  
 
  
 
  
 
  
 
  
 
  MS telescopic legs, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Tabletop beam structure is of size 50 x 25mm, powder coating finish.
 
  
 
  
 
  
 
  
 
  
 
  
 
  Foot Levellers. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Price is ex-works, exclusive of Tax. 
 
  
 
  
 
  
 
  
 
  
 
  
 
  Delivery time - 5 weeks",900,"https://s3-dms-prod.flipspaces.app/a7803f28-1133-4e8e-9ae7-b8f5d31cfaf1,https://s3-dms-prod.flipspaces.app/5b47500a-e0ab-483b-919a-d95a41bc7bf1,https://s3-dms-prod.flipspaces.app/b4d0569f-a5ed-4cc5-97ee-f6166bb8b0b8,https://s3-dms-prod.flipspaces.app/b815727a-abba-4c06-99c6-7617b6432db6",,,1a360208-81ec-4f3d-bfe8-057c6662e192,,MS Connected,,,4 Seater,"Conference Room,Meeting Room,Discussion Room,MD Cabin,Director Cabin,Workstation Area,Work Lounge Area",,EDGE BANDING COLORS,PLPB,PLPB,https://s3-dms-prod.flipspaces.app/3ceaf038-8dea-4713-a144-98ed362c5024,,Rectangular,,,POWDER COATING COLORS,https://s3-dms-prod.flipspaces.app/b5fedb3d-048e-4561-934c-69f676bb9eb0,,,12900
