boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,vendor_brand_dynamic,width,model_3d,material_dynamic,us_dimensions,us_specifications,Selling Price
PLANK CARPET,Euronics,SHP1606H GREY/GREEN,Splend,FLOORING,Green,IN,https://s3-dms-prod.flipspaces.app/5f31fcb1-2a85-44eb-aa65-e30fb44b6a28,1000mm (L) x 250mm (W) x 6mm (T),57023110,4709d2e7-8090-4a34-aa51-3920d360bb48,https://s3-dms-prod.flipspaces.app/00f6550a-9de0-417e-9d97-ab634c0c5b06,TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-514090,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET SHP1606H GREY/GREEN Splend 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 580GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,132
PLANK CARPET,Euronics,SHP1607O GREY/ORANGE,Splend,FLOORING,Orange,IN,https://s3-dms-prod.flipspaces.app/ca56670a-df00-45fa-ae7a-92fe073f0a9e,1000mm (L) x 250mm (W) x 6mm (T),57023110,4f49cfdf-40ab-48e6-95ce-beebf46ccbab,https://s3-dms-prod.flipspaces.app/f5cf64cb-5774-47c9-9b79-7df2d77ba1e0,TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-978198,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET SHP1607O GREY/ORANGE Splend 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 580GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,132
PLANK CARPET,Euronics,SHP1605Y GREY/YELLOW,Splend,FLOORING,Yellow,IN,https://s3-dms-prod.flipspaces.app/6d8337e5-c09d-4252-bb0f-3c796c8139ae,1000mm (L) x 250mm (W) x 6mm (T),57023110,1107b601-555e-4532-b0a5-abc0696339a6,https://s3-dms-prod.flipspaces.app/3400bac0-1084-4ec6-8bcb-e71ef3e31bea,TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-430218,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET SHP1605Y GREY/YELLOW Splend 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 580GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,132
PLANK CARPET,Euronics,SHP1602G GREY,Splend,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/bfb16a90-9dc3-4794-b851-6f32d0cbd765,1000mm (L) x 250mm (W) x 6mm (T),57023110,6fd5a0c1-4e7b-4fd1-954d-4d479238c152,https://s3-dms-prod.flipspaces.app/921358e6-1d09-4d2c-b518-cd5bf685afe8,TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-805370,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET SHP1602G GREY Splend 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 580GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,132
PLANK CARPET,Euronics,LHP13DC - DARK BROWN,Lustre,FLOORING,Brown,IN,https://s3-dms-prod.flipspaces.app/aa7a51a1-222a-4baa-a137-1557eaeb086a,1000mm (L) x 250mm (W) x 6mm (T),57023110,7175dba4-96b7-496b-9497-7c0b4ca3a731,"https://s3-dms-prod.flipspaces.app/1afc557e-1a3c-4243-a934-1aa6b31250b9,https://s3-dms-prod.flipspaces.app/1b1a27b2-bf0f-434f-b66f-b22fc620ef9c",TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-595039,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET LHP13DC - DARK BROWN Lustre 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 610GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,155
PLANK CARPET,Euronics,LHP11C - BROWN,Lustre,FLOORING,Brown,IN,https://s3-dms-prod.flipspaces.app/e2e25e98-b7fc-43ca-b3a1-63561e70f890,1000mm (L) x 250mm (W) x 6mm (T),57023110,989d3067-d16d-4691-9e69-41e85ba374c7,"https://s3-dms-prod.flipspaces.app/c944fcbf-bf6f-4d58-b055-50ea79b4be58,https://s3-dms-prod.flipspaces.app/1b1a27b2-bf0f-434f-b66f-b22fc620ef9c",TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-381871,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET LHP11C - BROWN Lustre 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 610GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,155
PLANK CARPET,Euronics,LHP14K - DARK GREY,Lustre,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/0a96111b-63f0-4561-b4ca-26cb4f5c4166,1000mm (L) x 250mm (W) x 6mm (T),57023110,c5418c11-1478-4be7-9677-b504e0be304c,"https://s3-dms-prod.flipspaces.app/971d725f-84c6-47d2-81a9-05dbf8cfcae6,https://s3-dms-prod.flipspaces.app/2820b30c-71e6-4f23-84e6-df91872fc2b8",TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-232057,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET LHP14K - DARK GREY Lustre 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 610GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,155
PLANK CARPET,Euronics,LHP12G - GREY,Lustre,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/caf2fb88-44a8-4d2b-b1ad-8b81e17763f7,1000mm (L) x 250mm (W) x 6mm (T),57023110,4a88eb54-53d2-40f5-90c1-7b07daa956cc,"https://s3-dms-prod.flipspaces.app/8ee965db-6e05-4129-8104-8a0f0a6a9592,https://s3-dms-prod.flipspaces.app/2820b30c-71e6-4f23-84e6-df91872fc2b8",TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-670960,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET LHP12G - GREY Lustre 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 610GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,155
TILE CARPET,Interface,4169-018-000 REGARD,Composure,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/7503e52c-44b7-4b6b-94a1-b5bd21e55917,500mm (L) x 500mm (W) x 6mm (T),57023110,b74b77b4-3cfa-4bc0-a730-0e22a8d0f4f0,,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-781262,FLOORING TEXTILE FLOORING CARPET Nylon Interface TILE CARPET 4169-018-000 REGARD Composure 500mm (L) x 500mm (W) x 6mm (T),,"Construction : Tufted Textured Loop
 
 Face yarn : 100% Solution Dyed Nylon
 
 Gauge: 1/12”
 
 Stitches: 8.63 /in
 
 Pile height : 6mm
 
 Tufted Pile GSM: 543GSM
 
 Size : 50 cm x 50 cm",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,500,,,,,330
TILE CARPET,Interface,4169-006-000 SECLUSION,Composure,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/07dee9fe-f1d8-432d-b514-7e544a4807f8,500mm (L) x 500mm (W) x 6mm (T),57023110,0829efed-e23b-4e7e-9ea5-ecfa1d620568,https://s3-dms-prod.flipspaces.app/b104684f-6bb2-492d-b87e-8906336792ef,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-529735,FLOORING TEXTILE FLOORING CARPET Nylon Interface TILE CARPET 4169-006-000 SECLUSION Composure 500mm (L) x 500mm (W) x 6mm (T),,"Construction : Tufted Textured Loop
 
 Face yarn : 100% Solution Dyed Nylon
 
 Gauge: 1/12”
 
 Stitches: 8.63 /in
 
 Pile height : 6mm
 
 Tufted Pile GSM: 543GSM
 
 Size : 50 cm x 50 cm",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,500,,,,,330
